City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
239,Farsund,NO,2020-07-08 02:44:44,58.09,6.8,50.0,78,83,11.01
240,Sarangani,PH,2020-07-08 02:44:44,5.4,125.46,83.88,73,0,10.47
241,Ewo,CG,2020-07-08 02:44:44,-0.87,14.82,72.59,72,5,4.16
242,Ajdabiya,LY,2020-07-08 02:44:44,30.76,20.23,71.91,89,0,7.56
243,Puqi,CN,2020-07-08 02:44:45,29.72,113.88,77.47,94,100,5.84
244,Itoman,JP,2020-07-08 02:40:14,26.12,127.67,87.8,79,75,11.41
245,Singaparna,ID,2020-07-08 02:44:45,-7.35,108.11,76.41,80,71,5.46
246,Airai,TL,2020-07-08 02:44:45,-8.93,125.41,70.38,69,82,4.85
247,Guerrero Negro,MX,2020-07-08 02:44:45,27.98,-114.06,69.87,75,83,14.76
248,San Pedro,PH,2020-07-08 02:44:45,14.35,121.02,93.0,63,75,4.7
249,Chokurdakh,RU,2020-07-08 02:44:45,70.63,147.92,48.29,74,99,9.28
250,Kaeo,NZ,2020-07-08 02:44:46,-35.1,173.78,54.0,6,30,14.0
251,Roald,NO,2020-07-08 02:44:46,62.58,6.13,48.2,87,100,11.41
252,Gasa,PS,2020-07-08 02:44:46,31.5,34.47,73.0,72,0,0.47
253,Areia Branca,BR,2020-07-08 02:44:46,-4.96,-37.14,75.58,78,2,14.34
254,At-Bashi,KG,2020-07-08 02:44:46,41.17,75.81,68.79,24,0,1.57
255,Shingu,JP,2020-07-08 02:44:46,33.73,135.98,73.4,100,75,11.41
256,Eureka,US,2020-07-08 02:42:39,40.8,-124.16,64.0,85,8,8.99
257,Bengkulu,ID,2020-07-08 02:43:09,-3.8,102.27,83.35,70,7,6.91
258,Placido De Castro,BR,2020-07-08 02:44:47,-10.34,-67.19,75.61,71,30,2.17
259,Topeka,US,2020-07-08 02:41:00,39.05,-95.68,84.2,66,1,3.36
260,Gat,IL,2020-07-08 02:40:04,31.61,34.76,73.0,72,0,1.61
261,Clyde River,CA,2020-07-08 02:44:47,70.47,-68.59,37.4,100,90,8.05
262,Kuching,MY,2020-07-08 02:40:26,1.55,110.33,84.2,83,40,4.7
263,Ilulissat,GL,2020-07-08 02:40:35,69.22,-51.1,39.2,93,100,3.36
264,Escanaba,US,2020-07-08 02:39:53,45.75,-87.06,75.99,83,1,3.36
265,Langsa,ID,2020-07-08 02:44:48,4.47,97.97,89.26,55,99,0.47
266,Mount Gambier,AU,2020-07-08 02:44:48,-37.83,140.77,50.0,87,90,5.82
267,Hernani,ES,2020-07-08 02:44:48,43.27,-1.98,60.8,87,0,4.7
268,Ginir,ET,2020-07-08 02:44:48,7.13,40.7,56.88,92,99,5.95
269,Ambon,ID,2020-07-08 02:44:48,-3.7,128.18,82.0,12,27,19.17
270,Fort Nelson,CA,2020-07-08 02:44:48,58.81,-122.7,60.8,82,90,4.5
271,Calama,CL,2020-07-08 02:44:49,-22.47,-68.93,37.4,44,0,16.11
272,Thunder Bay,CA,2020-07-08 02:43:52,48.4,-89.32,73.4,69,20,5.82
273,Rabat,MA,2020-07-08 02:44:49,33.99,-6.84,75.2,78,30,5.82
274,Puerto Escondido,MX,2020-07-08 02:44:41,15.85,-97.07,80.89,75,100,1.48
275,Brae,GB,2020-07-08 02:44:49,60.4,-1.35,46.4,81,47,5.82
276,Tucuman,AR,2020-07-08 02:44:49,-26.82,-65.22,41.0,75,40,6.93
277,Nyurba,RU,2020-07-08 02:44:49,63.28,118.33,71.76,41,0,6.44
