City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
189,Labuhan,ID,76.28,-6.88,112.21,broken clouds,bador sepret
190,Geraldton,AU,51.8,-28.77,114.6,scattered clouds,Broadwater Mariner Resort
191,Meulaboh,ID,75.74,4.14,96.13,overcast clouds,Kost Pria
192,Chalons-En-Champagne,FR,68.0,48.95,4.37,clear sky,Hotel D'Angleterre
194,Chake Chake,TZ,75.06,-5.25,39.77,clear sky,Hotel Archipelago
195,Upernavik,GL,42.98,72.79,-56.15,overcast clouds,Gina's Guesthouse - Upernavik
196,Hanzhong,CN,75.15,33.07,107.03,overcast clouds,Guorui Hotel
197,Monster,NL,64.0,52.03,4.17,moderate rain,Vakantiepark Kijkduin
199,Ambalavao,MG,50.0,-21.83,46.93,broken clouds,Hôtel Le Tropik
200,Ilulissat,GL,51.8,69.22,-51.1,light intensity shower rain,Hotel Arctic
201,Misratah,LY,74.46,32.38,15.09,clear sky,فندق الماسة
202,Tasiilaq,GL,46.4,65.61,-37.64,overcast clouds,The Red House
204,Carnarvon,AU,53.6,-24.87,113.63,overcast clouds,Hospitality Carnarvon
205,La Ronge,CA,68.0,55.1,-105.28,broken clouds,Northland Motor Hotel
206,Castro,BR,46.9,-24.79,-50.01,overcast clouds,CHACARA BAILLY
207,Husavik,IS,46.4,66.04,-17.34,broken clouds,Bjarnabúð
208,Tuatapere,NZ,48.87,-46.13,167.68,overcast clouds,Tom Cruse Refreshment Company
210,Vostok,RU,57.18,46.49,135.88,light rain,
211,Maun,BW,53.6,-19.98,23.42,clear sky,Enviro Villa
212,Warri,NG,74.86,5.52,5.75,light rain,BON Hotel Delta
213,Sitka,US,55.4,57.05,-135.33,moderate rain,Westmark Sitka
214,Saldanha,ZA,51.8,-33.01,17.94,moderate rain,Blue Bay Lodge
215,Thompson,CA,60.8,55.74,-97.86,light intensity shower rain,Burntwood Hotel
217,Port-Gentil,GA,77.0,-0.72,8.78,broken clouds,Fengshui Residence
219,Khatanga,RU,54.93,71.97,102.5,few clouds,"Gostinitsa ""Zapolyar'ye"""
220,Grindavik,IS,50.0,63.84,-22.43,broken clouds,Northern Light Inn & Max's Restaurant
221,Whitianga,NZ,57.0,-36.83,175.7,clear sky,Beachside Resort Whitianga
222,Havre-Saint-Pierre,CA,62.6,50.23,-63.6,overcast clouds,Auberge Niapiskau
223,Longyearbyen,SJ,46.4,78.22,15.64,light intensity drizzle,"Radisson Blu Polar Hotel, Spitsbergen"
224,Kutum,SD,75.74,14.2,24.67,broken clouds,Dibbo areaمنطقة دبو
226,Ribeira Grande,PT,68.0,38.52,-28.7,broken clouds,Quinta da Meia Eira
228,Vao,NC,67.44,-22.67,167.48,clear sky,Hotel Kou-Bugny
230,Conceicao Da Barra,BR,72.81,-18.59,-39.73,clear sky,Cricaré Praia Hotel
232,Jipijapa,EC,67.14,-1.33,-80.58,broken clouds,Los Ceibos Internacional
233,Riwaka,NZ,52.0,-41.08,173.0,few clouds,Motueka Top 10 Holiday Park
234,Sydney,AU,55.99,-33.87,151.21,broken clouds,QT Sydney
235,Kununurra,AU,69.8,-15.77,128.73,few clouds,Hotel Kununurra
237,Stornoway,GB,46.99,58.21,-6.39,overcast clouds,Caladh Inn
238,Nouakchott,MR,78.8,18.09,-15.98,scattered clouds,Hôtel Iman
241,Smithers,CA,66.2,54.78,-127.17,broken clouds,Prestige Hudson Bay Lodge
242,Noshiro,JP,66.2,40.2,140.02,broken clouds,Azuma Ryokan
244,Port Hawkesbury,CA,66.2,45.62,-61.35,clear sky,Hearthstone Inn Port Hawkesbury
245,Touros,BR,75.2,-5.2,-35.46,scattered clouds,INN NEW HORIZON
246,Sao Joao Da Barra,BR,70.56,-21.64,-41.05,clear sky,Pousada Porto De Canoas
247,Wuwei,CN,71.01,37.93,102.64,overcast clouds,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
248,Komsomolskiy,UZ,75.2,40.43,71.72,overcast clouds,Ikathouse
250,Noyabrsk,RU,55.27,63.2,75.45,few clouds,Hotel Uyutnaya
251,Francistown,BW,50.59,-21.17,27.51,clear sky,Budget House
252,Nemuro,JP,60.8,43.32,145.57,mist,Hotel Nemuro Kaiyoutei
253,Ust-Karsk,RU,79.77,52.7,118.81,overcast clouds,
254,Bom Conselho,BR,66.0,-9.17,-36.68,broken clouds,Hotel Raízes
255,Potsdam,DE,63.0,52.4,13.07,overcast clouds,Dorint Hotel Sanssouci Berlin/Potsdam
257,Luang Prabang,LA,77.77,19.89,102.13,overcast clouds,Villa Oasis
258,Coquimbo,CL,53.6,-29.95,-71.34,overcast clouds,Hotel San Juan
259,Virovitica,HR,60.01,45.83,17.38,clear sky,Rooms Virovitica
261,Iaciara,BR,71.76,-14.1,-46.63,clear sky,Hotel Matinha
262,Tazovskiy,RU,55.04,67.47,78.7,clear sky,TazHostel
263,Calvinia,ZA,43.48,-31.47,19.78,broken clouds,Die Lemoenhuis
264,Locri,IT,75.2,38.24,16.26,clear sky,Grand Hotel President
265,Marapanim,BR,75.63,-0.72,-47.7,broken clouds,Ecomangue Pousada
266,Portland,US,78.01,45.52,-122.68,scattered clouds,Portland Marriott City Center
267,Slave Lake,CA,59.0,55.28,-114.77,light rain,Super 8 by Wyndham Slave Lake AB
269,Shimoda,JP,78.01,34.67,138.95,broken clouds,Shimoda Tokyu Hotel
270,San Francisco,US,73.4,37.77,-122.42,clear sky,The Clift Royal Sonesta Hotel
271,Jardim,BR,60.55,-21.48,-56.14,overcast clouds,Hotel Estância
272,Centralia,US,71.6,46.72,-122.95,broken clouds,Peppermill Inn
273,Sao Filipe,CV,74.48,14.9,-24.5,broken clouds,Tortuga B&B
274,Santa Cruz,BO,60.8,-17.8,-63.17,overcast clouds,Hotel Cortez
275,San Quintin,MX,71.64,30.48,-115.95,clear sky,Old Mill Hotel
276,Raudeberg,NO,51.01,61.99,5.14,few clouds,Nordre Silda.
277,Santa Maria,BR,44.6,-29.68,-53.81,clear sky,Hotel Morotin
278,Lata,PT,64.0,40.16,-8.33,few clouds,Casa Maquia
279,Yurga,RU,59.54,55.72,84.89,overcast clouds,Gostinitsa 12 Futov
280,Namibe,AO,61.61,-15.2,12.15,clear sky,Hotel Chik Chik Namibe
283,Mamallapuram,IN,77.0,12.63,80.17,light intensity drizzle,Radisson Blu Resort Temple Bay Mamallapuram
