City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
135,Zhigansk,RU,2020-07-10 00:09:52,66.77,123.37,68.61,43,61,4.85,broken clouds,0.0,0
136,Belmopan,BZ,2020-07-10 00:09:52,17.25,-88.77,86.0,70,47,4.0,scattered clouds,0.0,0
137,Katsuura,JP,2020-07-10 00:09:05,35.13,140.3,78.01,83,93,5.99,overcast clouds,0.0,0
138,Kulhudhuffushi,MV,2020-07-10 00:09:52,6.62,73.07,82.54,77,100,12.37,moderate rain,1.85,0
139,Lagoa,PT,2020-07-10 00:09:53,39.05,-27.98,68.88,72,20,3.06,few clouds,0.0,0
140,Kavaratti,IN,2020-07-10 00:09:53,10.57,72.64,83.46,74,100,12.48,light rain,0.51,0
141,Manzanillo,CU,2020-07-10 00:09:53,20.34,-77.12,83.82,68,35,2.06,scattered clouds,0.0,0
142,Port Hueneme,US,2020-07-10 00:07:34,34.15,-119.2,66.99,82,90,12.75,overcast clouds,0.0,0
143,Bumba,CD,2020-07-10 00:09:53,2.18,22.47,72.14,91,84,2.33,light rain,0.2,0
144,Abengourou,CI,2020-07-10 00:09:53,6.73,-3.5,71.01,95,100,4.52,overcast clouds,0.0,0
145,Saint-Philippe,RE,2020-07-10 00:09:53,-21.36,55.77,68.0,82,75,18.34,broken clouds,0.0,0
146,Maunabo,PR,2020-07-10 00:09:54,18.01,-65.9,82.99,78,7,8.01,clear sky,0.0,0
147,Kautokeino,NO,2020-07-10 00:09:54,69.01,23.04,46.36,80,100,8.93,overcast clouds,0.0,0
148,Stephenville,US,2020-07-10 00:09:54,32.22,-98.2,95.0,41,1,10.29,clear sky,0.0,0
149,Tabory,RU,2020-07-10 00:09:54,58.52,64.55,67.98,83,0,4.03,clear sky,0.0,0
150,Norsup,VU,2020-07-10 00:09:54,-16.07,167.38,78.8,83,75,9.17,shower rain,0.0,0
151,Mount Gambier,AU,2020-07-10 00:09:00,-37.83,140.77,46.4,81,90,8.05,overcast clouds,0.0,0
152,Bulgan,MN,2020-07-10 00:09:54,48.81,103.53,54.88,79,100,3.89,overcast clouds,0.0,0
